AGI	gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	description
AT3G22490	ATRAB28	2127.1	5.096	0.1469	34.69	1.1169999999999993e-263	1.8874999999999988e-259	Seed maturation protein.
AT2G40170	GEA6	19308	6.0066	0.19746	30.42	2.985299999999999e-203	2.522199999999999e-199	full_name=LATE EMBRYOGENESIS ABUNDANT 6. Stress induced protein. Encodes a group 1 LEA gene that is activated by direct binding of ABI5 to its promoter and is involved in response to ABA. Is required for normal seed development. Involved in regulating the timing of dessication tolerance and rate of water loss during seed maturation.
AT2G41280	M10	3310.5	5.8925	0.19425	30.334	4.098499999999998e-202	2.3083999999999986e-198	late embryogenesis abundant protein (M10) / LEA protein M10. Encodes a hydrophilic protein similar to Late Embryogenesis Activated (LEA) proteins expressed during embryogenesis, which are thought to be involved in the acquisition of dessication tolerance.
AT3G22500	ATECP31	4167.2	4.8646	0.16734	29.07	8.597099999999997e-186	3.631599999999999e-182	full_name=LATE EMBRYOGENESIS ABUNDANT PROTEIN ECP31. Seed maturation protein. late embryogenesis abundant (LEA) protein
AT1G56600	GolS2	1186.4	4.0169	0.14415	27.865	7.008099999999998e-171	2.368299999999999e-167	full_name=galactinol synthase 2. galactinol synthase 2. GolS2 is a galactinol synthase that catalyzes the formation of galactinol from UDP-galactose and myo-inositol. GolS2 transcript levels rise in response to methyl viologen, an oxidative damage-inducing agent. Plants over-expressing GolS2 have increased tolerance to salt, chilling, and high-light stress.
AT5G12030	HSP17.6A	6424.6	5.76	0.21698	26.546	2.863499999999999e-155	8.064099999999998e-152	full_name=heat shock protein 17.6A. heat shock protein 17.6A. Encodes a cytosolic small heat shock protein with chaperone activity that is induced by heat and osmotic stress and is also expressed late in seed development.
AT3G47340	ASN1	1456.8	3.6215	0.14635	24.745	3.511199999999999e-135	8.475499999999997e-132	full_name=glutamine-dependent asparagine synthase 1. glutamine-dependent asparagine synthase 1. encodes a glutamine-dependent asparagine synthetase, the predicted ASN1 peptide contains a purF-type glutamine-binding domain, and  is expressed predominantly in shoot tissues, where light has a negative effect on its mRNA accumulation. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell.
AT1G16030	Hsp70b	9532	4.1575	0.16815	24.724	5.837899999999998e-135	1.2329999999999996e-131	full_name=heat shock protein 70B. heat shock protein 70B.
AT2G23240	AtMT4b	957.34	4.6019	0.1896	24.272	3.898699999999999e-130	7.319599999999998e-127	full_name=Arabidopsis thaliana metallothionein 4b. Plant EC metallothionein-like protein, family 15. AtMT4b is a member of Type 4 metallothionein (MT) genes. It is involved in the early develoment of the embryo and in the accumulation of metal ions especially Zn in the seeds.
AT5G66400	RAB18	66466	2.6916	0.11576	23.252	1.3496999999999997e-119	2.2805999999999995e-116	full_name=RESPONSIVE TO ABA 18. Dehydrin family protein. Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments. ABA- and drought-induced glycine-rice dehydrin protein.  The ABA-induced expression of RAB18 was reduced following ACC application, indicating that ethylene inhibits the ABA signaling pathway.  RAB18 is also expressed in response to the formation of the phospholipid diacylglycerol pyrophosphate. COR47 and RAB18 double overexpressor plants are cold tolerant. Expressed in guard cells.
