AGI	gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	description
AT5G65720	NFS1	1140	-1.9	0.091395	-20.789	5.4678999999999984e-96	4.761999999999999e-92	full_name=nitrogen fixation S (NIFS)-like 1. nitrogen fixation S (NIFS)-like 1. Encodes a cysteine desulfurase whose activity is dependent on AtSufE activation. It requires pyridoxal phosphate (PLP) for proper folding.  Its catalytic efficiency is increase three-fold in the presence of AtFH (frataxin).
AT1G68020	ATTPS6	1132.4	-1.4888	0.091739	-16.229	3.1444999999999997e-59	1.3693e-55	UDP-Glycosyltransferase / trehalose-phosphatase family protein. Encodes an enzyme putatively involved in trehalose biosynthesis. The protein has a trehalose synthase (TPS)-like domain and a trehalose phosphatase (TPP)-like domain. It can complement a yeast mutant lacking both of these activities suggesting that this is a bifunctional enzyme.
AT5G57390	AIL5	1344.8	-0.87438	0.086628	-10.094	5.9010000000000004e-24	1.7131000000000002e-20	full_name=AINTEGUMENTA-like 5. AINTEGUMENTA-like 5. Encodes a member of the AP2 family of transcriptional regulators. May be involved in germination and seedling growth. Mutants are resistant to ABA analogs and are resistant to high nitrogen concentrations.essential for the developmental  transition between the embryonic and vegetative  phases in plants. Overexpression results in the formation of somatic embryos on cotyledons. It is also required to maintain high levels of PIN1 expression at the periphery of the meristem and modulate local auxin production in the central region of the SAM which underlies phyllotactic transitions.
AT5G38650	UMP1B	692.7	-0.98552	0.10047	-9.8093	1.0271999999999999e-22	2.2364000000000003e-19	Proteasome maturation factor UMP1.
AT1G56660		525.48	1.3865	0.14884	9.3149	1.2208000000000001e-20	2.1264e-17	MAEBL domain protein.
AT5G38660	APE1	824.21	0.80821	0.10297	7.8489	4.1963e-15	6.091e-12	full_name=ACCLIMATION OF PHOTOSYNTHESIS TO  ENVIRONMENT. acclimation of photosynthesis to environment. mutant has Altered acclimation responses;
AT5G14450		288.79	-1.1386	0.18245	-6.2404	4.3656e-10	5.4314e-7	GDSL-like Lipase/Acylhydrolase superfamily protein.
AT5G45775		549.85	-0.96609	0.18944	-5.0996	3.4037e-7	3.7054e-4	Ribosomal L5P family protein.
AT2G47890		872.18	-0.52423	0.10409	-5.0362	4.7474e-7	4.5939e-4	B-box type zinc finger protein with CCT domain-containing protein.
AT2G22240	MIPS2	8687.1	0.41943	0.08735	4.8018	1.5728e-6	0.0013698	full_name=myo-inositol-1-phosphate synthase 2. myo-inositol-1-phosphate synthase 2. ** Referred to as MIPS1 in Mitsuhashi et al 2008. Myo-inositol-1-phosphate synthase isoform 2. Expressed in leaf, root and silique. Immunolocalization experiments with an antibody recognizing MIPS1, MIPS2, and MIPS3 showed endosperm localization.
AT4G25200	HSP23.6-MITO	948.98	0.42866	0.091975	4.6607	3.1518e-6	0.0022923	full_name=mitochondrion-localized small heat shock protein 23.6. mitochondrion-localized small heat shock protein 23.6. AtHSP23.6-mito mRNA, nuclear gene encoding mitochondrial
AT5G14040	PHT3;1	341.7	-0.73974	0.15874	-4.6602	3.1585e-6	0.0022923	full_name=phosphate transporter 3;1. phosphate transporter 3;1. Encodes a mitochondrial phosphate transporter. Modulates plant responses to salt stress.
AT4G25630	FIB2	605.2	-0.78663	0.17032	-4.6187	3.8623e-6	0.0025744	full_name=fibrillarin 2. fibrillarin 2. encodes a fibrillarin, a key nucleolar protein in eukaryotes which associates with box C/D small nucleolar RNAs (snoRNAs) directing 2'-O-ribose methylation of the rRNA. This gene also encodes a novel box C/D snoRNA, U60.2f in its fifth intron that accumulates in seedlings and that their targeted residue on the 25 S rRNA is methylated.
AT1G75240	HB33	269.99	-0.86242	0.18731	-4.6043	4.1384e-6	0.0025744	full_name=homeobox protein 33. homeobox protein 33. Encodes a zinc finger-homeodomain transcription factor ZHD5.  Nuclear import and DNA binding of the ZHD5 transcription factor is modulated by a competitive peptide inhibitor MIF1 (AT1G74660).
AT3G48930	EMB1080	1046.2	-0.54209	0.12172	-4.4535	8.4472e-6	0.0049044	full_name=embryo defective 1080. Nucleic acid-binding, OB-fold-like protein.
AT1G53540	HSP17.6C	1190.6	0.39736	0.091333	4.3507	1.357e-5	0.0073864	HSP20-like chaperones superfamily protein.
AT5G12030	HSP17.6A	40310	0.24662	0.05707	4.3213	1.5509e-5	0.0075203	full_name=heat shock protein 17.6A. heat shock protein 17.6A. Encodes a cytosolic small heat shock protein with chaperone activity that is induced by heat and osmotic stress and is also expressed late in seed development.
AT1G49600	RBP47A	1273.6	-0.56414	0.13056	-4.3208	1.5543e-5	0.0075203	full_name=RNA-binding protein 47A. RNA-binding protein 47A.
AT5G12020	HSP17.6II	171.22	0.78571	0.18292	4.2953	1.7447e-5	0.007997	full_name=17.6 kDa class II heat shock protein. 17.6 kDa class II heat shock protein.
AT2G41840		2245	-0.51836	0.12149	-4.2667	1.9834e-5	0.0082273	Ribosomal protein S5 family protein.
AT4G15000		1048	-0.45361	0.10631	-4.2667	1.9839e-5	0.0082273	Ribosomal L27e protein family.
AT2G47610		1938.4	-0.47702	0.11214	-4.2537	2.1024e-5	0.0083227	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein.
AT3G11510		743.56	-0.5898	0.14023	-4.2059	2.6e-5	0.009845	Ribosomal protein S11 family protein.
AT5G52640	HSP90.1	9087.2	0.27957	0.06682	4.1839	2.8649e-5	0.010396	full_name=heat shock protein 90.1. heat shock-like protein. Encodes a cytosolic heat shock protein AtHSP90.1.  AtHSP90.1 interacts with disease resistance signaling components SGT1b and RAR1 and is required for RPS2-mediated resistance.
AT1G55490	CPN60B	786.75	-0.45324	0.11083	-4.0895	4.3231e-5	0.01506	full_name=chaperonin 60 beta. chaperonin 60 beta. encodes the beta subunit of the chloroplast chaperonin 60, a homologue of bacterial GroEL. Mutants in this gene develops lesions on its leaves, expresses systemic acquired resistance (SAR) and develops accelerated cell death to heat shock stress. The protein has molecular chaperone activity for suppressing protein aggregation in vitro.
AT3G05590	RPL18	1844.5	-0.44325	0.11062	-4.0071	6.146e-5	0.019844	full_name=ribosomal protein L18. ribosomal protein L18. Encodes cytoplasmic ribosomal protein L18.
AT5G01520	AIRP2	1181.8	0.55213	0.1378	4.0069	6.1523e-5	0.019844	full_name=ABA Insensitive RING Protein 2. RING/U-box superfamily protein.
AT3G10420	SPD1	857.08	0.46685	0.11893	3.9255	8.6557e-5	0.026603	full_name=SEEDLING PLASTID DEVELOPMENT 1. P-loop containing nucleoside triphosphate hydrolases superfamily protein.
AT2G23640	RTNLB13	4703	0.32713	0.083578	3.9141	9.0746e-5	0.026603	full_name=Reticulan like protein B13. Reticulan like protein B13. Encodes RTNLB13, a reticulon protein integral to the endoplasmic reticulum (ER) membrane that have the ability to shape the ER into tubules.
